name,description how it solves,description how to perform,category,effectiveness
Diaphragmatic Breathing (Abdominal Breathing),"Diaphragmatic breathing, also known as abdominal breathing, engages the diaphragm fully, allowing for deeper and more efficient breaths. This technique has been shown to significantly reduce stress and anxiety levels by promoting relaxation and calming the nervous system. Research indicates that diaphragmatic breathing can lower cortisol levels, which are often elevated during stress. By shifting from shallow chest breathing to deep abdominal breathing, individuals can enhance oxygen exchange, improve focus and attention, and foster a sense of calm. This practice can also aid in better sleep by helping to quiet the mind and relax the body, making it easier to transition into a restful state.","Find a comfortable position, either sitting or lying down, in a quiet environment.
Place one hand on your chest and the other on your abdomen.
Inhale deeply through your nose, allowing your abdomen to rise while keeping your chest relatively still. Focus on filling your lower lungs with air.
Exhale slowly through pursed lips, feeling your abdomen fall. Aim for a longer exhalation than inhalation.
Continue this pattern for 5-10 minutes, focusing on the rise and fall of your abdomen and allowing any tension to release with each breath.",,high
Nadi Shodhana Pranayama,"Nadi Shodhana is a pranayama technique that balances the left and right hemispheres of the brain, promoting mental clarity and emotional stability. This practice is particularly effective for reducing stress and anxiety, as it helps calm the mind and restore a sense of balance. By regulating the breath and focusing on the nostrils, practitioners can enhance their ability to concentrate and relax, making it easier to fall asleep and manage daily stressors.","Sit comfortably with your spine straight and shoulders relaxed.
Use your right thumb to close your right nostril.
Inhale deeply through your left nostril.
Close your left nostril with your right ring finger, releasing your right nostril.
Exhale through the right nostril.
Inhale through the right nostril, then close it and exhale through the left nostril.
This completes one cycle. Continue for 5-10 cycles, focusing on your breath.",,high
Anulom Vilom Pranayama,"Anulom Vilom is similar to Nadi Shodhana and focuses on balancing the body's energy channels. This technique helps alleviate anxiety and stress by promoting relaxation and enhancing mental clarity. The controlled breathing pattern calms the nervous system, reduces tension, and can improve overall emotional well-being. Regular practice can also lead to better sleep quality by quieting the mind and preparing the body for rest.","Sit in a comfortable position with your spine straight.
Close your right nostril with your right thumb.
Inhale deeply through your left nostril.
Close your left nostril with your right ring finger and release your right nostril.
Exhale through the right nostril.
Inhale through the right nostril, close it, and exhale through the left nostril.
This completes one cycle. Repeat for 5-10 cycles, focusing on your breath.",,high
Bhramari Pranayama,"Bhramari Pranayama involves producing a humming sound while exhaling, which can significantly reduce stress and anxiety. The vibrations created by the humming can have a calming effect on the mind and body, promoting relaxation. This technique is particularly beneficial for those experiencing tension headaches or mental fatigue, as it helps soothe the nervous system and enhance concentration.","Sit comfortably with your spine straight and eyes closed.
Take a deep breath in through your nose.
As you exhale, produce a humming sound like a bee, keeping your lips closed.
Focus on the sound and vibrations in your head and throat.
Repeat the process for 5-10 breaths, allowing yourself to relax with each exhalation",,high
Chandra Bhedana Pranayama,"Chandra Bhedana is a cooling pranayama technique that calms the mind and reduces anxiety. By inhaling through the left nostril and exhaling through the right, this practice activates the parasympathetic nervous system, promoting relaxation and tranquility. It is particularly useful for managing stress and improving sleep by creating a soothing effect on the body and mind.","Sit comfortably with your spine straight.
Close your right nostril with your right thumb.
Inhale deeply through your left nostril.
Close your left nostril with your right ring finger and release your right nostril.
Exhale through the right nostril.
Repeat for 5-10 cycles, focusing on the calming effects of the breath.",,high
Sitali Pranayama,"Sitali Pranayama is a cooling breath technique that helps reduce stress and anxiety while promoting a sense of calm. This practice can lower body temperature and soothe the mind, making it effective for managing feelings of overwhelm. By focusing on the breath and the cooling sensation, individuals can achieve a state of relaxation that can improve sleep quality.","Sit comfortably with your spine straight.
Roll your tongue into a tube shape (if you cannot roll your tongue, simply inhale through your mouth).
Inhale deeply through the rolled tongue, feeling the cool air.
Close your mouth and exhale slowly through your nose.
Repeat for 5-10 breaths, focusing on the cooling sensation and relaxation.",,high
Kapalbhati Pranayama,"Kapalbhati is a cleansing pranayama technique that invigorates the mind and body. While it is energizing, it also helps to clear mental fog and reduce stress. By focusing on the forceful exhalation and passive inhalation, practitioners can stimulate the abdominal organs and improve oxygen flow, which can enhance mental clarity and reduce anxiety.","Sit comfortably with your spine straight.
Take a deep breath in, then exhale forcefully through your nose while contracting your abdominal muscles.
Allow the inhalation to happen naturally without effort.
Repeat this process for 20-30 breaths, gradually increasing the duration as you become more comfortable.",,high
Ujjayi Pranayama,"Ujjayi Pranayama is characterized by a slight constriction of the throat, creating a soft sound during inhalation and exhalation. This technique helps calm the mind and reduce anxiety by promoting a sense of focus and presence. The rhythmic nature of Ujjayi breathing can also enhance relaxation, making it easier to transition into sleep.","Sit comfortably with your spine straight.
Inhale deeply through your nose, slightly constricting the back of your throat to create a soft sound.
Exhale slowly through your nose, maintaining the constriction.
Continue this breathing pattern for 5-10 minutes, focusing on the sound and sensation of the breath.",,high
Sama Vritti Pranayama,"Sama Vritti Pranayama involves inhaling and exhaling for equal counts, promoting balance and calmness. This technique helps reduce stress and anxiety by creating a sense of stability and focus. By regulating the breath, practitioners can enhance relaxation and improve overall emotional well-being, leading to better sleep.","Sit comfortably with your spine straight.
Inhale deeply through your nose for a count of four.
Exhale through your nose for the same count of four.
Continue this pattern, gradually increasing the count to six or eight as you become more comfortable.
Practice for 5-10 minutes, focusing on the rhythm of your breath.",,high
Sheetkari Pranayama,"Sheetkari Pranayama involves inhaling through the teeth and exhaling through the nose, creating a hissing sound. This cooling breath technique helps reduce stress and anxiety while promoting relaxation. The practice can also aid in calming the mind and body, making it easier to fall asleep.","Sit comfortably with your spine straight.
Open your mouth slightly and press your teeth together.
Inhale deeply through your teeth, creating a hissing sound.
Close your mouth and exhale slowly through your nose.
Repeat for 5-10 breaths, focusing on the cooling sensation and relaxation.",,high
Viloma Pranayama,"Viloma Pranayama involves inhaling and exhaling in stages, which helps to increase lung capacity and promote relaxation. This technique can reduce anxiety and stress by encouraging a mindful approach to breathing. By breaking the breath into segments, practitioners can enhance their awareness and calm the mind, facilitating better sleep.","Sit comfortably with your spine straight.
Inhale deeply through your nose in three parts, pausing briefly between each inhalation.
Exhale slowly and smoothly through your nose, allowing the breath to flow naturally.
Repeat for 5-10 cycles, focusing on the segmented nature of the breath.",,high
Surya Bhedana Pranayama,"Surya Bhedana is a stimulating pranayama technique that involves inhaling through the right nostril and exhaling through the left. This practice energizes the body and mind, making it effective for alleviating fatigue and stress. While it can be invigorating, it also helps to clear mental fog and improve focus, which can be beneficial for managing anxiety.","Sit comfortably with your spine straight.
Close your left nostril with your right thumb.
Inhale deeply through your right nostril.
Close your right nostril with your right ring finger and release your left nostril.
Exhale through the left nostril.
Repeat for 5-10 cycles, focusing on the energizing effects of the breath.",,high
Moorchha Pranayama,"Moorchha Pranayama is a technique that involves breath retention, which can promote deep relaxation and mental clarity. This practice helps to reduce stress and anxiety by calming the mind and enhancing focus. By practicing breath retention, individuals can also improve their lung capacity and overall respiratory health.","Sit comfortably with your spine straight.
Inhale deeply through your nose, filling your lungs completely.
Hold your breath for a comfortable duration (start with a few seconds and gradually increase).
Exhale slowly through your nose.
Repeat for 5-10 cycles, focusing on the sensations of breath retention and relaxation.",,high
Bhastrika Pranayama,"Bhastrika Pranayama is an energizing breath technique that involves forceful inhalations and exhalations. This practice helps to increase oxygen supply to the body and can invigorate the mind, making it effective for combating fatigue and stress. While it energizes, it also helps clear mental fog and improve focus, which can reduce anxiety.","Sit comfortably with your spine straight.
Inhale deeply through your nose, expanding your abdomen.
Exhale forcefully through your nose, contracting your abdomen.
Repeat this cycle rapidly for 10-20 breaths, then take a deep breath and relax.
Practice for 3-5 cycles, focusing on the energizing effects of the breath.",,high
Dirgha Pranayama,"Dirgha Pranayama, or the three-part breath, involves filling the lungs in three stages: abdomen, ribs, and chest. This technique promotes deep relaxation and reduces stress by encouraging full, mindful breathing. By engaging all parts of the lungs, Dirgha Pranayama enhances oxygen exchange and calms the nervous system, which can improve sleep quality.","Sit comfortably with your spine straight.
Place one hand on your abdomen and the other on your chest.
Inhale deeply through your nose, filling your abdomen first, then your ribs, and finally your chest.
Exhale slowly, releasing the breath in reverse order: chest, ribs, and abdomen.
Continue this pattern for 5-10 minutes, focusing on the fullness of each breath.",,high
